,搜索词,浏览量(PV),访客数(UV),IP数,跳出率,平均访问时长
,总计,2493,1517,1519,82.55%, 00:03:23
1,碳导航,220,45,45,34.78%, 00:08:22
2,碳阻迹 lca,48,1,1,0%, 02:52:50
3,西藏生态环境厅,47,10,10,60%, 00:12:59
4,上海置信碳资产管理有限公司,44,33,33,87.88%, 00:01:43
5,国际自愿碳减排交易网站,33,1,1,0%, 01:31:35
6,碳圈公司,26,3,3,0%, 00:17:21
7,贵州捷碳,24,3,3,33.33%, 00:07:37
8,韩国KFQ,23,2,2,50%, 00:04:48
9,国际绿证,22,13,13,61.54%, 00:01:59
10,上海碳道信息科技有限公司,22,4,4,50%, 00:23:08
11,大唐碳资产有限公司,20,18,18,88.89%, 00:02:39
12,碳维基,19,5,5,20%, 00:10:59
13,中国多尺度排放清单模型,19,14,14,85.71%, 00:04:41
14,Sustainalytics,18,8,8,87.50%, 00:01:42
15,西藏自治区生态环境厅官网,16,16,16,100%, 00:02:36
16,中国自愿减排资源交易信息平台,16,4,4,0%, 00:01:54
17,西藏自治区生态环境厅,16,15,15,93.33%, 00:04:04
18,碳环境技术公司,15,1,1,0%, 00:19:44
19,ctc国检集团,15,14,14,92.86%, 00:01:26
21,碳网址导航,14,3,3,33.33%, 00:13:58
22,碳咨询,14,14,14,100%, 00:00:11
23,sustainalytics,12,6,6,50%, 00:06:24
24,MEIC清单,12,10,10,90%, 00:01:52
25,Sustainalytics database,12,1,1,0%, 00:38:50
26,碳视界,12,4,4,0%, 00:02:24
29,北京太铭基业投资咨询有限公司,12,7,8,75%, 00:01:55
30,上海置信碳资产有限公司,11,1,1,0%, 00:16:40
32,Trucost气候分析工具,11,1,1,0%, 00:25:40
33,民间非盈利自然保护网站,11,1,1,0%, 00:11:03
34,meic清单,11,9,9,77.78%, 00:02:03
35,site:navi.co2.press,10,7,7,85.71%, 00:02:21
36,上海盈碳环境能源科技有限公司,10,6,6,66.67%, 00:01:56
37,低碳亚洲,10,9,9,88.89%, 00:01:28
38,trucost,10,7,7,71.43%, 00:01:21
39,置信碳资产公司,10,2,2,50%, 00:01:43
40,ipe公众环境研究中心位置,10,1,1,0%, 00:29:59
41,碳圈导航,9,1,1,0%, 00:02:42
42,meic2016年排放清单,9,1,1,0%, 00:02:53
43,碳道,9,1,1,0%, 00:04:03
44,韩国碳交易所,9,2,2,50%, 00:19:26
45,中国资源减排交易信息平台,9,1,1,0%, 00:14:01
46,大唐碳资产,8,6,6,83.33%, 00:03:39
47,自愿减排平台,8,1,1,0%, 00:03:21
48,置信碳资产管理公司,8,8,8,100%, 00:00:54
49,CDMPipeline,8,3,3,66.67%, 00:08:45
51,MEIC排放清单,8,8,8,100%, 00:01:12
52,碳交易产业联盟,8,1,1,0%, 00:06:34
54,碳维基是什么网站,8,2,2,50%, 00:03:20
55,中国清洁发展机制网,8,5,5,80%, 00:01:13
56,太铭碳管理,7,7,7,100%, 00:00:59
57,国际绿证网站,7,5,5,80%, 00:08:53
58,环保桥 I-REC,7,2,2,50%, 00:20:41
59,国际气候组织官网,7,1,1,0%, 00:06:30
60,Multi-resolution Emission Inventory for China,7,6,6,83.33%, 00:01:29
61,ngo* 导航,7,1,1,0%, 00:23:48
62,重庆碳排放权交易中心地址,6,2,2,0%, 00:04:56
63,CCA 低碳亚洲,6,1,1,0%, 00:26:13
64,中国自愿减排交易信息平台,6,2,2,50%, 00:00:53
65,KFQ认证,6,5,5,80%, 00:02:56
66,碳资产经营管理有限公司,6,2,2,0%, 00:00:44
67,大唐碳资产有限公司工作,6,1,1,0%, 00:01:10
68,中国自愿减排信息交易平台官网,5,1,1,0%, 00:05:27
69,中国自愿减排信息交易平台,5,1,1,0%, 00:02:16
70,LCA碳排查询,5,2,2,50%, 00:15:11
71,Environmental Insights Explorer,5,4,4,75%, 00:00:40
72,CTC国检集团,5,5,5,100%, 00:01:43
73,Refinitiv碳研究,5,1,1,0%, 00:06:03
74,北京CEC中环联合公司碳核查,5,2,2,50%, 00:14:38
75,Trucost,5,5,5,100%, 00:02:40
76,广西碳道科技有限公司,5,3,3,66.67%, 00:02:32
77,西藏生态环境厅官网,5,4,4,75%, 00:02:14
78,IPE北京环境研究中心,5,1,1,0%, 00:05:10
80,site:press,5,1,1,0%, 00:03:31
81,meic排放清单,5,5,5,100%, 00:06:48
82,meic emission,5,5,5,100%, 00:03:19
83,公众环境研究中心(IPE),5,2,2,50%, 00:05:54
84,欧盟气候总司,4,4,4,100%, 00:01:34
85,深圳嘉德瑞碳资产股份,4,3,3,66.67%, 00:00:49
87,大唐集团碳资产管理,4,3,3,66.67%, 00:01:43
89,carbontips碳问答,4,3,3,66.67%, 00:02:40
90,meic源清单,4,2,3,66.67%, 00:00:59
91,MEIC inventory,4,4,4,100%, 00:01:11
93,中国多尺度大气污染物排放清单(MEIC),4,1,1,0%, 00:03:32
94,大唐碳资产管理有限公司,4,3,3,66.67%, 00:14:43
96,欧洲能源交易所(EEX),4,2,2,50%, 00:02:48
97,Vigeo Eiris,4,4,4,100%, 00:02:09
99,ICLEI 智联招聘,4,1,1,0%, 00:00:59
100,上海盈碳环境技术咨询有限公司,4,4,4,100%, 00:02:04
102,上海环保桥,4,2,2,0%, 00:03:09
103,匈牙利绿色债券,4,1,1,0%, 00:21:05
104,wri世界,4,1,1,0%, 00:01:55
105,置信碳资产管理有限公司,4,4,4,100%, 00:01:02
107,碳达峰 生态环境部环境与经济政策研究中心,4,1,1,0%, 00:06:58
108,内蒙裴大实,4,1,1,0%, 00:00:31
109,sustainalytics公司,4,2,2,50%, 00:03:12
110,联合国VCS网址,3,1,1,0%, 00:02:43
111,置信碳资产,3,3,3,100%, 00:01:21
112,ICAO-CORSIA,3,2,2,50%, 00:23:20
113,大唐碳资产公司,3,3,3,100%, 00:00:07
114,climate group,3,3,3,100%, 00:02:28
115,Sustainalytics评级,3,1,1,0%, 00:05:59
116,EEX能源交易所,3,1,1,0%, 00:02:13
117,carbon pricing dashboard,3,1,1,0%, 00:04:58
118,绿交所,3,1,1,0%, 00:05:48
119,中环cec,3,2,2,50%, 00:01:29
120,EDFNGO,3,2,2,50%, 00:01:12
121,ipe碳,3,1,1,0%, 00:00:24
122,vigeo eiris,3,3,3,100%, 00:00:49
123,欧盟气候行动总司,3,3,3,100%, 00:00:54
124,气候组织(the climate group),3,1,1,0%, 00:15:22
125,2020全球碳市场进展报告,3,1,1,0%, 00:24:12
126,公众环境研究中心 ipe,3,2,2,50%, 00:01:05
127,低碳亚洲有限公司,3,2,2,50%, 00:00:24
128,低碳 三维数据可视化,3,1,1,0%, 00:01:04
129,meic大气网格化清单数据,3,2,2,50%, 00:03:52
130,ICF 国际咨询公司,3,2,2,50%, 00:00:13
132,meic清单污染物单位,3,3,3,100%, 00:00:53
133,MEIC清单网格化,3,2,2,50%, 00:00:21
134,北京中创碳投科技有限公司,3,2,2,50%, 00:06:54
135,海置信碳资产管理有限公司,3,1,1,0%, 00:02:54
137,上海盈碳,3,2,2,50%, 00:05:52
138,世界自然保护联盟简称i uc n是世界上规模最大历史最悠久的全国性非盈利环保机,3,2,2,50%, 00:01:19
140,WRI 资源,3,1,1,0%, 00:13:32
141,北京盈碳,3,1,1,0%, 00:01:17
142,eex碳价格,3,1,1,0%, 00:01:22
144,国际碳行动伙伴组织,3,2,2,50%, 00:09:46
145,meic模式,3,2,2,50%, 00:01:16
147,大唐碳,3,1,1,0%, 00:00:42
149,韩国 KRX交易所,3,1,1,0%, 00:01:06
153,MEIC排放清单数据下载,3,1,1,0%, 00:00:50
154,unfccc是什么网站,3,2,2,50%, 00:12:23
155,山水自然保护中心与保护国际,3,1,1,0%, 00:00:41
156,中国国检集团,3,2,2,50%, 00:01:38
157,上海环境交易所 碳排放权 走势,3,1,1,0%, 00:01:11
159,西藏自治区生态环保厅,3,2,2,50%, 00:01:06
160,全球碳市场进展报告2020,3,2,2,50%, 00:01:08
161,欧洲 碳市场 报告,3,1,1,0%, 00:02:22
162,中国多尺度排放清单,3,2,2,50%, 00:12:49
163,meic清单中居民源包括什么,2,2,2,100%, 00:01:52
164,EEX欧洲客服,2,1,1,0%, 00:01:18
165,trucost公司中文,2,1,1,0%, 00:00:40
166,北京绿色交易所,2,2,2,100%, 00:01:01
167,欧盟委员会气候行动总司 european commission climate action,2,1,1,0%, 00:00:28
168,kfq认证,2,2,2,100%, 00:01:15
169,中国建材认证ctc官网,2,2,2,100%, 00:01:12
170,Trucost数据库,2,1,1,0%, 00:01:30
171,EU climate,2,2,2,100%, 00:01:09
174,环保桥(上海)环境技术有限公司官网,2,2,2,100%, 00:00:35
175,MEIC在线清单,2,2,2,100%, 00:06:05
176,sustainalytics是什么意思,2,2,2,100%, 00:02:00
178,广西壮族自治区环境宣传教育中心,2,1,1,0%, 00:39:27
179,国家发改委自愿减排网,2,1,1,0%, 00:02:34
180,meic mix清单,2,1,1,0%, 00:22:59
182,国际绿证irec 可口可乐,2,1,1,0%, 00:00:07
183,陕西省生态环境厅举报电话,2,1,1,0%, 00:00:29
184,国际绿证 开发流程,2,1,1,0%, 00:00:38
185,EEX欧洲碳市场介绍,2,1,1,0%, 00:00:22
187,"世界自然保护联盟,简称IUCN,是世界上规模最大、历史最悠久的全球性非营利环保",2,2,2,100%, 00:00:21
188,"世界自然保护联盟,简称IUCN,是世界上规模最大、历史最悠久的全球性非营利环保机构",2,2,2,100%, 00:00:08
189,MEIC 源排放清单,2,2,2,100%, 00:01:05
190,绿证 RECS,2,1,1,0%, 00:00:14
191,全球气候组织(the climategroup)中国,2,1,1,0%, 00:00:28
192,国际绿证 有哪些,2,2,2,100%, 00:02:00
193,国家资源减排信息平台,2,1,1,0%, 00:00:52
194,在北京注册的公众环境研究中心是哪个国家的公司,2,1,1,0%, 00:01:09
195,ipe公众环境研究中心,2,1,1,0%, 00:02:23
197,Local Governments for Sustainability 可持续发展,2,1,1,0%, 00:03:14
198,meic排放数据,2,2,2,100%, 00:09:30
199,星霖咨询,2,2,2,100%, 00:00:09
200,清华大学meic清单co2,2,1,2,100%, 00:02:00
201,碳资产管理有限公司 手机,2,1,1,0%, 00:08:36
202,sustainalytics 公司中文,2,1,1,0%, 00:06:26
203,icex洲际交易所,2,1,1,0%, 00:03:55
204,欧盟气候环境总司,2,1,2,100%, 00:02:00
205,国检ctc,2,2,2,100%, 00:00:02
206,欧洲能源交易所,2,2,2,100%, 00:01:03
207,国检集团,2,2,2,100%, 00:00:21
208,中国自愿减排信息平台,2,1,1,0%, 00:00:28
209,carbontips,2,1,1,0%, 00:01:45
210,西藏自治区生态环境厅电话,2,2,2,100%, 00:01:11
211,国际可再生能源证书(I-REC),2,1,1,0%, 00:07:06
213,gridstudio 源码,2,2,2,100%, 00:02:00
215,FYI. CDM pipeline | 碳导航,2,1,1,0%, 00:00:16
217,MEIC emission inventory,2,2,2,100%, 00:01:02
218,MEIC emission,2,2,2,100%, 00:01:08
219,Climate Group,2,2,2,100%, 00:02:36
220,上海置信碳资产管理,2,2,2,100%, 00:06:00
221,中国多尺度排放清单模型MEIC数据下载,2,2,2,100%, 00:02:00
